timestamp,Bx,By,Bz,B_total
2026-08-18 01:57:00,20185.35,938.65,44674.81,49032.14
2026-08-18 01:58:00,20185.53,937.72,44675.09,49032.46
2026-08-18 01:59:00,20186.01,936.91,44675.3,49032.83
2026-08-18 02:00:00,20186.18,936.87,44675.41,49032.98
2026-08-18 02:01:00,20185.39,937.44,44675.13,49032.41
2026-08-18 02:02:00,20184.19,938.22,44674.85,49031.69
2026-08-18 02:03:00,20183.94,938.27,44674.81,49031.56
2026-08-18 02:04:00,20184.13,937.05,44675.19,49031.96
2026-08-18 02:05:00,20184.09,935.66,44675.53,49032.23
2026-08-18 02:06:00,20183.97,936.08,44675.54,49032.19
2026-08-18 02:07:00,20183.86,935.91,44675.41,49032.02
2026-08-18 02:08:00,20183.91,934.64,44675.62,49032.23
2026-08-18 02:09:00,20183.35,934.31,44675.78,49032.14
2026-08-18 02:10:00,20182.95,934.08,44675.85,49032.02
2026-08-18 02:11:00,20182.05,934.13,44675.78,49031.59
2026-08-18 02:12:00,20180.67,935.11,44675.52,49030.81
2026-08-18 02:13:00,20180.76,935.9,44675.33,49030.69
2026-08-18 02:14:00,20181.12,936.05,44675.12,49030.66
2026-08-18 02:15:00,20181.45,935.96,44675.04,49030.71
2026-08-18 02:16:00,20182.08,935.11,44675.14,49031.05
2026-08-18 02:17:00,20182.8,933.95,44675.51,49031.66
2026-08-18 02:18:00,20183.04,932.6,44675.9,49032.09
2026-08-18 02:19:00,20184.18,930.71,44676.19,49032.8
2026-08-18 02:20:00,20184.31,929.99,44676.22,49032.86
2026-08-18 02:21:00,20184.54,929.57,44676.15,49032.88
2026-08-18 02:22:00,20185.19,929.07,44676.05,49033.03
2026-08-18 02:23:00,20184.86,928.35,44675.93,49032.76
2026-08-18 02:24:00,20184.43,928.02,44675.75,49032.43
2026-08-18 02:25:00,20183.93,928.43,44675.6,49032.11
2026-08-18 02:26:00,20183.33,927.68,44675.64,49031.89
2026-08-18 02:27:00,20183.19,927.26,44675.72,49031.88
2026-08-18 02:28:00,20182.15,927.06,44675.81,49031.54
2026-08-18 02:29:00,20181.38,926.64,44675.71,49031.14
2026-08-18 02:30:00,20180.26,926.83,44675.4,49030.39
2026-08-18 02:31:00,20179.99,926.91,44675.34,49030.24
2026-08-18 02:32:00,20179.9,927.45,44675.11,49029.99
