event_id,event_type,start_time,end_time,duration_hours,loading_start,loading_end,loading_duration_hours,loading_chi_rise,peak_time,peak_chi,distance_from_boundary,relaxation_start,relaxation_end,relaxation_duration_hours,relaxation_chi_drop,reload_start,reload_end,reload_duration_hours,reload_chi_rise,confidence,notes
BOW_20251224_011800,single_bow,2025-12-24T00:18:00+00:00,2025-12-24T04:29:00+00:00,4.183333333333334,2025-12-24T00:18:00+00:00,2025-12-24T01:18:00+00:00,1.0,0.071263227806273,2025-12-24T01:18:00+00:00,0.140429452118145,0.00957054788185499,2025-12-24T01:18:00+00:00,2025-12-24T02:19:00+00:00,1.0166666666666666,0.09852231241508508,2025-12-24T02:19:00+00:00,2025-12-24T04:29:00+00:00,2.1666666666666665,0.04974328328005131,1.0,
BOW_20251224_034100,single_bow,2025-12-24T02:39:00+00:00,2025-12-24T06:43:00+00:00,4.066666666666666,2025-12-24T02:39:00+00:00,2025-12-24T03:41:00+00:00,1.0333333333333334,0.09477187710599487,2025-12-24T03:41:00+00:00,0.12705594530593306,0.022944054694066934,2025-12-24T03:41:00+00:00,2025-12-24T04:43:00+00:00,1.0333333333333334,0.11915890515385646,2025-12-24T04:43:00+00:00,2025-12-24T06:43:00+00:00,2.0,0.014838821545237343,1.0,
BOW_20251224_104500,single_bow,2025-12-24T09:45:00+00:00,2025-12-24T13:47:00+00:00,4.033333333333333,2025-12-24T09:45:00+00:00,2025-12-24T10:45:00+00:00,1.0,0.03397348579272466,2025-12-24T10:45:00+00:00,0.14571886812664822,0.004281131873351773,2025-12-24T10:45:00+00:00,2025-12-24T11:45:00+00:00,1.0,0.07252297530984143,2025-12-24T11:45:00+00:00,2025-12-24T13:47:00+00:00,2.033333333333333,0.09804407644213485,1.0,
BOW_20251224_220300,single_bow,2025-12-24T21:01:00+00:00,2025-12-25T01:04:00+00:00,4.05,2025-12-24T21:01:00+00:00,2025-12-24T22:03:00+00:00,1.0333333333333334,0.043280327406703,2025-12-24T22:03:00+00:00,0.13595718249660863,0.01404281750339137,2025-12-24T22:03:00+00:00,2025-12-24T23:04:00+00:00,1.0166666666666666,0.11432625559052753,2025-12-24T23:04:00+00:00,2025-12-25T01:04:00+00:00,2.0,0.07211262399856941,1.0,
BOW_20251226_033800,single_bow,2025-12-26T02:38:00+00:00,2025-12-26T06:41:00+00:00,4.05,2025-12-26T02:38:00+00:00,2025-12-26T03:38:00+00:00,1.0,0.09175241887734911,2025-12-26T03:38:00+00:00,0.14849880661846462,0.0015011933815353706,2025-12-26T03:38:00+00:00,2025-12-26T04:39:00+00:00,1.0166666666666666,0.13669184121387193,2025-12-26T04:39:00+00:00,2025-12-26T06:41:00+00:00,2.033333333333333,0.04607655411757611,1.0,
BOW_20251227_050700,single_bow,2025-12-27T04:07:00+00:00,2025-12-27T08:42:00+00:00,4.583333333333333,2025-12-27T04:07:00+00:00,2025-12-27T05:07:00+00:00,1.0,0.12289045846057967,2025-12-27T05:07:00+00:00,0.16601697719120728,0.016016977191207288,2025-12-27T05:07:00+00:00,2025-12-27T06:07:00+00:00,1.0,0.08856812142032279,2025-12-27T06:07:00+00:00,2025-12-27T08:42:00+00:00,2.5833333333333335,0.07849891777048464,1.0,
BOW_20251227_084200,single_bow,2025-12-27T07:42:00+00:00,2025-12-27T11:42:00+00:00,4.0,2025-12-27T07:42:00+00:00,2025-12-27T08:42:00+00:00,1.0,0.07618496804586185,2025-12-27T08:42:00+00:00,0.15594777354136913,0.0059477735413691335,2025-12-27T08:42:00+00:00,2025-12-27T09:42:00+00:00,1.0,0.13988263173377882,2025-12-27T09:42:00+00:00,2025-12-27T11:42:00+00:00,2.0,0.21909635039309516,1.0,
BOW_20251227_171200,single_bow,2025-12-27T16:11:00+00:00,2025-12-27T20:34:00+00:00,4.383333333333334,2025-12-27T16:11:00+00:00,2025-12-27T17:12:00+00:00,1.0166666666666666,0.022109556253831653,2025-12-27T17:12:00+00:00,0.12690394463257318,0.023096055367426815,2025-12-27T17:12:00+00:00,2025-12-27T18:12:00+00:00,1.0,0.06401691029084086,2025-12-27T18:12:00+00:00,2025-12-27T20:34:00+00:00,2.3666666666666667,0.02197861475504634,1.0,
BOW_20251227_195000,single_bow,2025-12-27T18:50:00+00:00,2025-12-27T22:55:00+00:00,4.083333333333333,2025-12-27T18:50:00+00:00,2025-12-27T19:50:00+00:00,1.0,0.11519392907407225,2025-12-27T19:50:00+00:00,0.12987659045269687,0.020123409547303128,2025-12-27T19:50:00+00:00,2025-12-27T20:50:00+00:00,1.0,0.106264705202585,2025-12-27T20:50:00+00:00,2025-12-27T22:55:00+00:00,2.0833333333333335,0.11034547135933252,1.0,
BOW_20251228_062600,single_bow,2025-12-28T05:25:00+00:00,2025-12-28T09:41:00+00:00,4.266666666666667,2025-12-28T05:25:00+00:00,2025-12-28T06:26:00+00:00,1.0166666666666666,0.09163660315785435,2025-12-28T06:26:00+00:00,0.1274452527003467,0.02255474729965329,2025-12-28T06:26:00+00:00,2025-12-28T07:26:00+00:00,1.0,0.05961348841508131,2025-12-28T07:26:00+00:00,2025-12-28T09:41:00+00:00,2.25,0.01178886061468315,1.0,
